sigma,NBBg_R,NBBg_a,NBBg_kD,NBBg_kE
0.15,2.425893445,0.003477059,1.09990156,15.57300368
0.15,2.5460192,0.003193687,1.11136909,15.43402214
0.15,2.892817309,0.003505807,0.998034691,17.28418945
0.15,2.949418874,0.003938896,0.745397077,22.02747781
0.15,2.326745321,0.003469727,1.254787863,22.7390084
0.15,2.707422196,0.0033607,1.881208739,15.03887458
0.15,2.477072613,0.003312542,2.760156836,16.7066062
0.15,2.249682615,0.003191586,0.647245716,11.91872733
0.15,2.597682672,0.003352957,0.681733834,9.554805438
0.15,2.744303864,0.004174781,0.855359245,14.93139376
0.15,2.191282758,0.002986476,0.639480696,11.42129568
0.15,2.741084123,0.003412673,0.621379324,11.94943286
0.15,2.719458944,0.003678587,4.526082923,17.87648963
0.15,2.59393111,0.003822648,1.170584946,17.72388012
0.15,2.370002436,0.00350732,0.655434906,19.66552051
0.15,2.61222816,0.003445354,0.813754461,25.20332125
0.15,2.541290746,0.003345182,2.676483518,10.69904476
0.15,2.503079992,0.003317963,17.73473936,16.30989704
0.15,2.653359168,0.003983826,0.814032134,49.03563655
0.15,2.321132516,0.003491916,0.996843414,13.70607887
0.15,2.694309478,0.003589726,1.028800949,30.79966376
0.15,2.827834572,0.003456245,1.828804813,12.80878338
0.15,2.33941998,0.003362836,0.563056443,40.5129196
0.15,2.458102135,0.003441829,2.132941371,10.46552673
0.15,2.512301821,0.003589252,1.604314656,16.40241486
0.15,2.531622332,0.003822649,0.411189465,20.01273651
0.15,2.94822021,0.004078772,1.0792652,15.51777091
0.15,2.419256928,0.003235011,0.661916064,9.23799539
0.15,2.743096788,0.00337349,2.075516662,10.15856765
0.15,2.642580916,0.003422683,1.021113042,9.687833331
0.15,2.529189405,0.003740421,2.072630896,15.98325103
0.15,2.64135967,0.003866379,1247.045414,8.934951985
0.15,2.578566593,0.003477803,1.14288061,8.650481172
0.15,2.279449938,0.00357072,2.358026639,11.33413185
0.15,2.629998087,0.003614762,0.416197771,25.23336981
0.15,2.567948652,0.003981301,0.777796914,28.50005395
0.15,2.342385308,0.003355717,0.50504951,24.04771309
0.15,2.525951903,0.003839631,2.348451531,7.038399325
0.15,2.696301366,0.003907359,1.407013365,28.69956439
0.15,2.625740196,0.003246771,0.62814791,22.69149161
0.15,2.176739499,0.003295074,1.03157746,18.47915532
0.15,2.150091735,0.003313614,1.464758339,28.91886277
0.15,2.888561331,0.004003155,0.809253241,138.6407959
0.15,2.507689838,0.003489084,0.64599372,26.50355063
0.2,3.006024564,0.004212132,1.315773076,10.86241996
0.2,2.262775894,0.003009422,0.337673203,5.626768518
0.2,2.359986019,0.003244275,0.45236612,11.81301117
0.2,2.452810345,0.003686285,1.060725897,22.13970253
0.2,2.953912175,0.003905898,3.049594097,9.082521985
0.2,2.927523857,0.003842518,0.83789307,21.36789842
0.2,2.755047342,0.003726169,1.246068676,10.40096333
0.2,2.913857392,0.003883379,5.273620394,6.854204717
0.2,2.54044252,0.003472643,0.830244706,24.80666627
0.2,2.434569461,0.003107317,0.596384764,8.773666181
0.2,2.706928419,0.003698478,1.488224691,6.049182411
