Rseq,P_Tm,NBd_Tm,NBe_Tm,NBg_Tm,PB_Tm,NBBd_Tm,NBBe_Tm,NBBg_Tm
11.8,982.30899,31.0763728,34.29820664,14.65162916,33.09752198,8.877956,13.65828346,6.83995062
12,865.0084,28.00744715,33.16325305,14.870045,30.67111514,8.42145,12.93445821,7.549295
12.2,701.83232,27.69746006,31.20886939,15.04079302,28.44703684,9.281329,13.35851418,7.371328
12.4,615.75516,23.66035309,30.36590161,13.62879392,27.66420018,7.866149,11.52295581,6.137599
12.6,476.95515,24.15892748,28.8633589,12.38176487,25.93691212,7.480831,12.80869318,6.378434
12.8,419.0677,20.55318763,31.03664482,14.45876297,24.46225161,7.32333,10.72771071,6.252529
13,366.83124,22.39457971,26.55047269,12.85692885,21.88590741,7.325847,12.15372303,5.830412
13.2,314.62073,23.39590776,24.04801527,11.97571154,19.44691978,6.866323,11.2475036,6.142732
13.4,279.05515,18.43635014,21.80381362,11.37705489,19.79256932,6.78082,10.18886617,5.732327
13.6,238.95099,19.88293484,22.4816166,11.58165609,18.33282347,6.917614,9.917892032,6.744369
13.8,207.21269,18.48570993,18.84478879,11.03494409,17.36565784,6.616746,10.80099123,6.171154
14,180.0648,16.91311674,19.04410064,11.70300818,17.96493383,6.413983,9.55381658,5.972604
14.2,148.98791,14.76411729,19.87591098,9.052141266,15.64022674,6.414234,8.587093186,5.127759
14.4,146.4915,15.63151372,16.88251288,12.00020125,16.44752124,5.994583,8.477405535,5.774801
14.6,112.20416,14.48583661,16.99731466,9.704736567,14.55202372,6.513959,7.878321475,5.337882
14.8,110.2822,14.47972369,15.83044534,9.982264785,13.63530524,6.228933,7.803125288,5.520853
15,94.86137,14.16879359,16.89650411,9.976517514,11.5545941,5.921706,7.638136878,5.091847
15.2,97.19859,13.23983643,15.20852584,8.569101423,12.66895273,5.788766,8.199091637,5.010743
15.4,76.37504,12.63280133,13.44928857,8.855024942,12.74200169,5.424833,7.254808058,4.992355
15.6,68.18542,12.32016283,13.01320238,8.134792378,12.03153374,5.391517,6.869026823,5.014763
15.8,66.57705,11.67377134,15.86599168,8.074509514,10.93561232,5.579635,7.574878543,4.961762
16,56.92007,11.72520205,13.08836626,8.544219012,10.8904194,5.295811,7.394086328,4.709353
16.2,57.89657,10.84002875,13.895459,9.557306978,9.944190775,5.146592,7.265750655,4.781057
16.4,51.77177,11.14098233,12.81951318,8.070913198,10.10482003,5.238648,6.156538749,4.941212
16.6,46.45845,10.10123709,11.87936311,7.772754861,11.15784022,5.077145,7.373148734,4.579728
16.8,42.52439,10.61413184,10.00832893,7.754751038,8.757899467,5.423965,6.616495923,4.454063
17,40.38602,9.47827988,13.93783576,6.997542656,9.562443478,4.784987,8.074512429,5.023069
17.2,35.10869,9.254354843,10.57538868,7.785261788,8.958948126,5.122157,6.824000756,5.085574
17.4,34.23203,9.934098894,9.988816401,7.238064224,8.595980182,4.721037,5.984787057,4.34838
17.6,30.13773,10.24794023,10.64113176,6.551587806,8.803290687,4.662251,5.313265991,4.18911
17.8,29.73993,9.209833773,9.420550773,6.238765288,8.912078434,4.568066,5.693604239,4.068892
18,27.60834,8.762995021,10.05315881,7.512685081,8.175216358,4.645507,5.754904058,4.072587
18.2,24.70885,8.27648102,9.513417064,6.276744638,8.063708498,4.368219,5.735602424,4.123697
18.4,24.57001,8.217833493,10.65977095,7.290500955,6.414438951,4.624815,5.531898113,3.91865
18.6,24.41378,8.583000233,8.796790664,6.911559197,7.04608728,4.760409,4.933185923,4.376477
18.8,19.88544,7.315327518,8.527579079,6.559809788,7.031828231,4.481862,5.305381176,4.348042
19,20.22582,7.365263362,8.411569522,6.411163724,6.47947792,4.408407,5.928366871,3.82526
19.2,17.61824,6.642857228,8.555576684,5.721886602,6.361525609,4.441823,5.540471578,3.88596
19.4,17.10097,7.806314268,8.481890404,6.321455875,6.429332502,4.580236,5.693365066,3.681986
19.6,19.109,7.159650865,7.442999474,7.42656947,6.181182224,4.237232,5.348103617,3.641228
19.8,14.7866,6.972065394,7.25393684,5.63352613,6.614140463,4.084972,4.842379639,3.866707
20,14.28423,7.413170203,6.924893131,6.402461566,6.185642845,4.085517,4.67099927,3.760676
